"RNumber","EName","Grade","Phone_Num","Homepage","Price","Locatin","Category"
"148","Tongue & Groove Joint","5","02-790-7036","tngj.modoo.at","Lunch à la carte 7,000 ~ 49,000 (Won)Dinner à la carte 15,000 ~ 49,000 (Won)","Yongsan-gu","Barbecue"
"149","Table 34","5","02-559-7631","www.grandicparnas.com","Lunch à la carte 100,000 ~ 160,000 (Won)Dinner à la carte 100,000 ~ 160,000 (Won)Lunch set 60,000 ~ 97,000 (Won)Dinner set 120,000 ~ 300,000 (Won)","Gangnam-gu","French"
"150","Table for Four","0","02-3478-0717","tablefor4.modoo.at","Lunch set 45,000 (Won)Dinner set 90,000 (Won)","Seocho-gu","European contemporary"
"151","Toc Toc","5","02-542-3030","www.toctocseoul.com","Dinner à la carte 67,000 ~ 168,000 (Won)Lunch set 42,000 (Won)Dinner set 100,000 ~ 120,000 (Won)","Gangnam-gu","French contemporary"
"152","Tuktuk Noodle Thai","4","070-4407-5130","tuktuknoodle.modoo.at","Lunch à la carte 9,000 ~ 32,000 (Won)Dinner à la carte 9,000 ~ 32,000 (Won)","Mapo-gu","Thai"
"153","Trattoria Molto","5","02-303-1022","","Lunch à la carte 41,000 ~ 92,000 (Won)Dinner à la carte 41,000 ~ 92,000 (Won)Lunch set 43,000 (Won)Dinner set 43,000 (Won)","Mapo-gu","Italian"
"154","Passionné","5","02-546-7719","www.ipassionne.com","Lunch set 41,800 (Won)Dinner set 71,500 (Won)","Gangnam-gu","French"
"155","Palais de Gaumont","5","02-546-8877","palaisdegaumont.modoo.at","Dinner set 135,000 (Won)","Gangnam-gu","French"
"156","Pyungyang Myeonok","5","02-2267-7784","pyungyangmyunok.modoo.at","Lunch à la carte 11,000 ~ 80,000 (Won)Dinner à la carte 11,000 ~ 80,000 (Won)","Jung-gu","Naengmyeon"
"157","Poom","0","02-777-9007","www.poomseoul.com","Lunch set 80,850 ~ 115,500 (Won)Dinner set 115,500 ~ 231,000 (Won)","Yongsna-gu","Korean"
"158","Flower Child","5","02-553-2574","www.flowerchildkorea.com","Lunch set 35,000 ~ 45,000 (Won)Dinner set 80,000 ~ 100,000 (Won)","Seocho-gu","American contemporary"
"159","Piyangkong Halmani","4","02-508-0476","piyang.modoo.at","Lunch à la carte 7,000 ~ 40,000 (Won)Dinner à la carte 7,000 ~ 40,000 (Won)","Gangnam-gu","Dubu"
"160","Philkyungjae","5","02-445-2115","www.philkyungjae.co.kr","Lunch set 54,000 ~ 240,000 (Won)Dinner set 102,000 ~ 240,000 (Won)","Gangnam-gu","Korean"
"161","Pildong Myeonok","4","02-2266-2611","","Lunch à la carte 10,000 ~ 27,000 (Won)Dinner à la carte 10,000 ~ 27,000 (Won)","Jung-gu","Naengmyeon"
"162","Hadongkwan","4","02-776-5656","www.hadongkwan.com","Lunch à la carte 12,000 ~ 50,000 (Won)","Jung-gu","Gom-tang"
"163","Hamo","5","02-515-4266","hamokitchen.modoo.at","Lunch à la carte 8,000 ~ 45,000 (Won)Dinner à la carte 8,000 ~ 45,000 (Won)Lunch set 27,000 ~ 65,000 (Won)Dinner set 27,000 ~ 65,000 (Won)","Gangnam-gu","Korean"
"164","Hakone","5","02-559-7623","www.grandicparnas.com","Lunch à la carte 100,000 ~ 300,000 (Won)Dinner à la carte 100,000 ~ 300,000 (Won)Lunch set 85,000 ~ 125,000 (Won)Dinner set 125,000 ~ 280,000 (Won)","Gangnam-gu","Japanese"
"165","Hanilkwan","4","02-732-3735","www.hanilkwan.co.kr","Lunch à la carte 10,000 ~ 45,000 (Won)Dinner à la carte 10,000 ~ 45,000 (Won)Lunch set 29,000 ~ 60,000 (Won)Dinner set 39,000 ~ 60,000 (Won)","Gangnam-gu","Korean"
"166","Halmaejip","4","02-735-2608","halmaejip.modoo.at","Lunch à la carte 25,000 ~ 30,000 (Won)Dinner à la carte 25,000 ~ 30,000 (Won)","Jongno-gu","Jokbal"
"167","Grandmother’s Recipe","5","02-467-5101","grandmarecipe.modoo.at/","Lunch à la carte 8,000 ~ 39,000 (Won)Dinner à la carte 10,000 ~ 39,000 (Won)","Seongdong-gu","Korean"
"168","Hong Bo Gak","5","02-2270-3141","grand.ambatel.com/seoul","Lunch à la carte 17,000 ~ 200,000 (Won)Dinner à la carte 17,000 ~ 200,000 (Won)Lunch set 78,000 ~ 130,000 (Won)Dinner set 98,000 ~ 130,000 (Won)","Jung-gu","Chinese"
"169","Hong Yuan","5","02-317-0494","www.echosunhotel.com","Lunch à la carte 80,000 ~ 350,000 (Won)Dinner à la carte 90,000 ~ 350,000 (Won)Lunch set 90,000 ~ 225,000 (Won)Dinner set 90,000 ~ 385,000 (Won)","Jung-gu","Chinese"
"170","Hwa Hae Dang","5","02-785-4422","hwahaedang.modoo.at","Lunch à la carte 36,000 ~ 50,000 (Won)","Yeongdeungpo-gu","Gejang"
"171","Hwanggeum Kongbat","4","02-313-2952","hgkb.modoo.at/","Lunch à la carte 7,000 ~ 65,000 (Won)","Mapo-gu","Dubu"
"172","Hwangsaengga Kalguksu","4","02-739-6334","hwangsanga.modoo.at","Lunch à la carte 9,000 ~ 53,000 (Won)","Jongno-gu","Kal-guksu"
